Year,Scope,County_GEOID,County_Name,Elev_Band,Elev_Min_m,Elev_Max_m,Population,Pct_of_State,WorldPop_Source
2013,County,12101,Pasco,0-1 m,0,1.0,8767,0.04,WorldPop_PPP_Unconstrained_v2
2013,County,12101,Pasco,1-2 m,1,2.0,18758,0.09,WorldPop_PPP_Unconstrained_v2
2013,County,12101,Pasco,2-5 m,2,5.0,77307,0.39,WorldPop_PPP_Unconstrained_v2
2013,County,12101,Pasco,5-10 m,5,10.0,123062,0.62,WorldPop_PPP_Unconstrained_v2
2013,County,12101,Pasco,10-25 m,10,25.0,184563,0.93,WorldPop_PPP_Unconstrained_v2
2013,County,12101,Pasco,25-50 m,25,50.0,92204,0.47,WorldPop_PPP_Unconstrained_v2
2013,County,12101,Pasco,50+ m,50,112.47,3680,0.02,WorldPop_PPP_Unconstrained_v2
2013,County,12103,Pinellas,0-1 m,0,1.0,99183,0.5,WorldPop_PPP_Unconstrained_v2
2013,County,12103,Pinellas,1-2 m,1,2.0,100095,0.51,WorldPop_PPP_Unconstrained_v2
2013,County,12103,Pinellas,2-5 m,2,5.0,262676,1.33,WorldPop_PPP_Unconstrained_v2
2013,County,12103,Pinellas,5-10 m,5,10.0,160880,0.81,WorldPop_PPP_Unconstrained_v2
2013,County,12103,Pinellas,10-25 m,10,25.0,283182,1.43,WorldPop_PPP_Unconstrained_v2
2013,County,12103,Pinellas,25-50 m,25,50.0,10312,0.05,WorldPop_PPP_Unconstrained_v2
2013,County,12105,Polk,10-25 m,10,25.0,27269,0.14,WorldPop_PPP_Unconstrained_v2
2013,County,12105,Polk,25-50 m,25,50.0,480761,2.43,WorldPop_PPP_Unconstrained_v2
2013,County,12105,Polk,50+ m,50,112.47,134527,0.68,WorldPop_PPP_Unconstrained_v2
2013,County,12107,Putnam,0-1 m,0,1.0,1975,0.01,WorldPop_PPP_Unconstrained_v2
2013,County,12107,Putnam,1-2 m,1,2.0,1744,0.01,WorldPop_PPP_Unconstrained_v2
2013,County,12107,Putnam,2-5 m,2,5.0,8523,0.04,WorldPop_PPP_Unconstrained_v2
2013,County,12107,Putnam,5-10 m,5,10.0,11629,0.06,WorldPop_PPP_Unconstrained_v2
2013,County,12107,Putnam,10-25 m,10,25.0,30111,0.15,WorldPop_PPP_Unconstrained_v2
2013,County,12107,Putnam,25-50 m,25,50.0,20367,0.1,WorldPop_PPP_Unconstrained_v2
2013,County,12107,Putnam,50+ m,50,112.47,872,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12113,Santa Rosa,0-1 m,0,1.0,2902,0.01,WorldPop_PPP_Unconstrained_v2
2013,County,12113,Santa Rosa,1-2 m,1,2.0,4843,0.02,WorldPop_PPP_Unconstrained_v2
